column,dtype,null_count,null_pct,n_unique
product_type,str,0,0.0,3
sku,str,0,0.0,100
price,float64,0,0.0,100
availability,int64,0,0.0,63
number_of_products_sold,int64,0,0.0,96
revenue_generated,float64,0,0.0,100
customer_demographics,str,0,0.0,4
stock_levels,int64,0,0.0,65
lead_times,int64,0,0.0,29
order_quantities,int64,0,0.0,61
shipping_times,int64,0,0.0,10
shipping_carriers,str,0,0.0,3
shipping_costs,float64,0,0.0,100
supplier_name,str,0,0.0,5
location,str,0,0.0,5
lead_time,int64,0,0.0,29
production_volumes,int64,0,0.0,96
manufacturing_lead_time,int64,0,0.0,30
manufacturing_costs,float64,0,0.0,100
inspection_results,str,0,0.0,3
defect_rates,float64,0,0.0,100
transportation_modes,str,0,0.0,4
routes,str,0,0.0,3
costs,float64,0,0.0,100
