record_id,product_key,supplier_key,shipping_key,location_key,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_costs,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,costs,order_fill_rate,inventory_turnover,on_time_delivery_flag,warehouse_utilization_pct,profit,profit_margin_pct,total_shipping_cost,is_defective_batch,quality_pass_flag
1,1,1,1,1,55,802,8661.996792392383,Non-binary,58,7,96,4,2.956572139430807,215,29,46.27987924050832,Pending,0.2264103608499251,187.75207545920392,100.0,13.827586206896552,1,37.66233766233766,8474.244716933179,97.83246196045579,2371.1708558235073,0,0
2,2,1,2,1,95,736,7460.900065445849,Female,53,30,37,2,9.71657477143131,517,30,33.61676895373,Pending,4.854068026388706,503.0655791496692,100.0,13.88679245283019,1,58.88888888888889,6957.834486296179,93.25730709784534,7151.399031773444,1,0
3,3,2,3,1,34,8,9577.74962586873,Unknown,1,10,88,2,8.054479261732155,971,27,30.688019348284204,Pending,4.580592619199229,141.92028177151906,9.090909090909092,8.0,1,1.1235955056179776,9435.82934409721,98.51822936164248,64.43583409385724,1,0
4,4,3,4,2,68,83,7766.836425685233,Non-binary,23,13,59,6,1.7295685635434288,937,18,35.62474139712503,Fail,4.74664862064775,254.77615921928663,100.0,3.608695652173913,1,28.04878048780488,7512.060266465946,96.71969196651636,143.5541907741046,1,0
5,5,4,5,3,26,871,2686.505151567447,Non-binary,5,3,56,8,3.890547915870672,414,3,92.06516059871284,Fail,3.145579522833002,923.4406317119222,100.0,174.2,0,8.19672131147541,1763.0645198555246,65.62669417651632,3388.6672347233553,1,0
6,6,5,6,4,87,147,2828.348745975759,Non-binary,90,27,66,3,4.444098864382293,104,17,56.7664755574318,Fail,2.7791935115711617,235.4612367355375,100.0,1.6333333333333333,1,57.692307692307686,2592.8875092402213,91.67495744396594,653.2825330641971,1,0
7,7,6,7,2,48,65,7823.476559531737,Male,11,15,58,8,3.880763302952003,314,24,1.0850685695870688,Pending,1.0009106193041355,134.36909686103172,100.0,5.909090909090909,1,15.942028985507244,7689.107462670705,98.28248866295479,252.2496146918802,0,0
8,8,5,8,4,59,426,8496.103813089838,Female,93,17,11,1,2.3483387844177805,564,1,99.46610860359912,Fail,0.3981771868506506,802.0563118175586,100.0,4.580645161290323,1,89.42307692307693,7694.047501272279,90.55971620095036,1000.3923221619746,0,0
9,9,7,9,1,78,150,7517.363210631127,Female,5,10,15,7,3.4047338570830266,769,8,11.423027139565695,Pending,2.709862691109961,505.55713422546415,100.0,30.0,1,25.0,7011.806076405663,93.27480766779367,510.710078562454,1,0
10,10,8,10,5,35,980,4971.145987585558,Unknown,14,27,83,1,7.166645291048216,963,23,47.95760163495158,Pending,3.844614478767585,995.9294614986416,100.0,70.0,1,14.432989690721648,3975.2165260869165,79.9657973435949,7023.312385227251,1,0
11,11,3,11,2,11,996,2330.965802091949,Non-binary,51,13,80,2,8.673211211278613,830,5,96.52735278531092,Pass,1.7273139283559424,806.103177702923,100.0,19.529411764705884,1,38.93129770992366,1524.8626243890262,65.41763173962151,8638.518366433498,0,1
12,12,9,5,2,95,960,6099.944115581452,Female,46,23,60,1,4.523943124316663,362,11,27.592363086663696,Pending,0.0211698213729943,126.72303340940724,100.0,20.869565217391305,1,43.39622641509434,5973.221082172045,97.92255419052593,4342.9853993439965,0,0
13,13,10,2,2,41,336,2873.7414460214413,Unknown,100,30,85,4,1.325274010184522,563,3,32.32128621342403,Fail,2.161253747555912,402.9687890737706,100.0,3.36,1,54.054054054054056,2470.772656947671,85.97755585730714,445.2920674219994,1,0
14,14,11,2,4,5,249,4052.738416237866,Male,80,8,48,9,9.537283061108338,173,10,97.82905011017328,Pending,1.6310742300715386,547.2410051609685,100.0,3.1125,0,62.5,3505.4974110768976,86.49700649397033,2374.783482215976,0,0
15,15,12,12,2,26,562,8653.570926469802,Non-binary,54,29,78,5,2.039770189449332,558,14,5.791436629862989,Pending,0.1006828515650937,929.2352899608896,100.0,10.407407407407407,1,40.909090909090914,7724.335636508912,89.26182846530423,1146.3508464705246,0,0
16,16,13,13,4,94,469,5442.086785397673,Non-binary,9,8,69,7,2.4220397232752044,580,7,97.12128175147431,Pass,2.264405761198549,127.8618000016254,100.0,52.111111111111114,1,11.538461538461538,5314.2249853960475,97.65050053327508,1135.9366302160709,1,1
17,17,13,14,4,74,280,6453.797968176285,Female,2,5,78,1,4.191324585705502,399,21,77.10634249785001,Pass,1.012563089258049,865.5257797712403,100.0,140.0,1,2.5,5588.272188405045,86.58889255537355,1173.5708839975405,0,1
18,18,14,15,5,82,126,2629.396434845262,Female,45,17,85,9,3.585418958232342,453,16,47.679680368355335,Fail,0.1020207549181761,670.9343907924103,100.0,2.8,0,34.61538461538461,1958.4620440528515,74.48333077884111,451.7627887372751,0,0
19,19,9,7,2,23,620,9364.673505076173,Unknown,10,10,46,8,4.339224714110709,374,17,27.10798085484392,Pending,2.231939110729264,593.4802587206518,100.0,62.0,1,17.857142857142858,8771.19324635552,93.66256326609836,2690.3193227486395,1,0
20,20,15,16,5,100,187,2553.495584991215,Unknown,48,11,94,3,4.742635882841877,694,16,82.37332058799021,Fail,3.646450865417029,477.3076310909034,100.0,3.8958333333333335,1,33.80281690140845,2076.1879539003116,81.30767744826372,886.872910091431,1,0
21,21,14,17,5,22,320,8128.027696851192,Unknown,27,12,68,6,8.87833465092684,309,6,65.68625960848863,Pass,4.231416573534539,493.87121531620585,100.0,11.851851851851851,0,28.421052631578945,7634.156481534986,93.92384925672027,2841.0670882965887,1,1
22,22,16,3,5,60,601,7087.052696357437,Unknown,69,25,7,6,6.037883769218298,791,4,61.73572895416093,Pending,0.0186075676310149,523.360914720158,100.0,8.710144927536232,0,90.78947368421053,6563.691781637279,92.61525295290733,3628.768145300197,0,0
23,23,10,18,2,55,884,2390.8078665561734,Unknown,71,1,63,10,9.56764892092304,780,28,50.12083961297735,Fail,2.591275473211116,205.57199582694707,100.0,12.450704225352112,0,52.98507462686567,2185.2358707292265,91.40156770008197,8457.801646095966,1,0
24,24,3,19,2,30,391,8858.367571011484,Unknown,84,5,29,7,2.924857601145554,568,29,98.60995724270389,Pending,1.342291562722734,196.32944611241268,100.0,4.654761904761905,1,74.33628318584071,8662.03812489907,97.78368368055882,1143.6193220479117,0,0
25,25,17,20,4,32,209,9049.077860939897,Male,4,26,2,8,9.741291689284369,447,3,40.382359702924816,Pending,3.691310292628728,758.7247726029383,100.0,52.25,0,66.66666666666666,8290.353088336959,91.61544652104328,2035.929963060433,1,0
26,26,10,11,2,73,142,2174.777054350654,Male,82,11,52,3,2.231073681281728,934,23,78.28038311841539,Pending,3.797231217114183,458.535945739209,100.0,1.7317073170731707,1,61.19402985074627,1716.241108611445,78.91572633517053,316.8124627420053,1,0
27,27,17,21,4,9,353,3716.493325894037,Male,59,16,48,4,6.507548621078551,171,4,15.97222975718176,Pass,2.119319736724923,617.8669164583772,100.0,5.983050847457627,1,55.140186915887845,3098.6264094356598,83.37500266303469,2297.1646632407287,0,1
28,28,18,9,1,42,352,2686.457223575984,Unknown,47,9,62,8,7.406750952998074,291,4,10.528245070042162,Fail,2.864667837883373,762.4591821556837,100.0,7.48936170212766,1,43.11926605504588,1923.9980414203,71.6184134456173,2607.1763354553223,1,0
29,29,2,14,1,12,394,6117.324615083992,Female,48,15,24,4,9.898140508069222,171,7,59.42938181069157,Fail,0.815757079295672,123.43702751182708,100.0,8.208333333333334,1,66.66666666666666,5993.887587572165,97.98217300407013,3899.8673601792734,0,0
30,30,12,1,2,3,253,8318.903194617178,Female,45,5,67,7,8.100973145397031,329,7,39.29287558606575,Pass,3.878098936588488,764.9353759407081,100.0,5.622222222222222,0,40.17857142857143,7553.96781867647,90.8048530191376,2049.546205785449,1,1
31,31,10,8,2,10,327,2766.342366866089,Male,60,26,35,7,8.954528315318015,806,30,51.63489340010933,Pending,0.9653947053523932,880.080988247161,100.0,5.45,0,63.1578947368421,1886.261378618928,68.1861146766089,2928.130759108991,0,0
32,32,19,22,5,28,168,9655.135102719398,Male,6,17,44,4,2.6796609649814065,461,8,60.25114566159808,Pending,2.9890000066550746,609.3792066184267,100.0,28.0,1,12.0,9045.75589610097,93.68854811315076,450.18304211687627,1,0
33,33,6,23,2,43,781,9571.55048732782,Unknown,89,13,64,4,6.599104901238584,737,7,29.69246715374977,Pass,1.946036119386113,761.1739095148776,100.0,8.775280898876405,1,58.16993464052288,8810.376577812944,92.04753806060337,5153.900927867334,0,1
34,34,16,7,5,63,616,5149.9983504080365,Non-binary,4,17,95,9,4.85827050343664,251,23,23.853427512896133,Fail,3.541046012250923,371.255295519871,100.0,154.0,0,4.040404040404041,4778.743054888166,92.79115700123562,2992.69463011697,1,0
35,35,14,2,5,96,602,9061.710895507724,Unknown,1,26,21,7,1.019487570822119,452,10,10.754272815029331,Pass,0.6466045593720549,510.3580004335235,100.0,602.0,0,4.545454545454546,8551.3528950742,94.36797304263447,613.7315176349156,0,1
36,36,4,24,3,11,449,6541.329344802465,Female,42,27,85,8,5.288189990327409,367,2,58.004787044743765,Pass,0.5411540980605811,553.4204712303558,100.0,10.69047619047619,1,33.07086614173229,5987.908873572109,91.53963296970996,2374.3973056570067,0,1
37,37,20,3,3,34,963,7573.402457848733,Female,18,23,28,3,2.107951267159081,671,19,45.531364237162144,Fail,3.8055333792433537,403.8089742481805,100.0,53.5,1,39.130434782608695,7169.593483600553,94.66806397130406,2029.957070274195,1,0
38,38,6,25,2,5,963,2438.339930470029,Female,25,8,21,9,1.5326552735904306,867,15,34.34327746507538,Pending,2.610288084848113,183.9329680435944,100.0,38.52,0,54.347826086956516,2254.4069624264343,92.45663142594977,1475.9470284675847,1,0
39,39,18,12,1,75,705,9692.318040218432,Non-binary,69,1,88,5,9.235931437249228,841,12,5.930693645528318,Pending,0.6133268991645074,339.6728699486061,100.0,10.217391304347826,1,43.94904458598726,9352.645170269825,96.49544238499882,6511.331663260706,0,0
40,40,9,17,2,26,176,1912.4656631007608,Female,78,29,34,3,5.562503778830384,791,6,9.005807428781642,Fail,1.451972203996816,653.6729945520332,100.0,2.2564102564102564,1,69.64285714285714,1258.7926685487278,65.82040623452524,979.0006650741475,0,0
41,41,12,23,2,97,933,5724.959350456265,Female,90,20,39,8,7.229595139736474,793,1,88.17940710421746,Pending,4.213269430586566,529.8087239806919,100.0,10.366666666666667,0,69.76744186046511,5195.1506264755735,90.74563343513579,6745.21226537413,1,0
42,42,15,26,5,35,556,5521.205259010972,Female,64,19,38,8,5.773263743766654,892,7,95.3320645487725,Fail,0.0453022623982596,275.5243711313098,100.0,8.6875,1,62.745098039215684,5245.680887879663,95.00970606586966,3209.9346415342593,0,0
43,43,11,23,4,98,155,1839.609425856764,Female,22,27,57,4,7.526248326851508,179,7,96.42282063957188,Fail,4.939255288620948,635.6571205019919,100.0,7.045454545454546,1,27.848101265822784,1203.9523053547719,65.44608265387929,1166.5684906619838,1,0
44,44,18,14,1,6,598,5737.425599119023,Unknown,36,29,85,9,3.6940212683884543,206,23,26.27736595733241,Pending,0.3723047679850977,716.0441197593407,100.0,16.61111111111111,0,29.75206611570248,5021.381479359682,87.51976635881276,2209.024718496296,0,0
45,45,20,4,3,34,919,7152.2860494355145,Female,13,19,72,6,7.577449657376693,834,18,22.554106620887744,Fail,2.962626320454882,610.4532696192277,100.0,70.6923076923077,1,15.294117647058824,6541.832779816286,91.46492093017717,6963.676235129181,1,0
46,46,8,21,5,1,24,5267.956807510521,Male,93,7,52,6,5.21515500871191,794,25,66.31254443999165,Pass,3.219604612084106,495.305697028474,46.15384615384615,0.25806451612903225,1,64.13793103448275,4772.6511104820465,90.59776465284763,125.16372020908582,1,1
47,47,19,1,5,75,859,2556.767360633596,Non-binary,92,29,6,8,4.070955837084083,870,23,77.32235321105162,Pending,3.6486105925362033,380.4359371119643,100.0,9.33695652173913,0,93.87755102040816,2176.3314235216317,85.12043203579977,3496.951064055227,1,0
48,48,12,21,2,93,910,7089.474249934186,Male,4,15,51,9,8.97875075594997,964,20,19.712992911293647,Pending,0.3805735867132137,581.6023550505868,100.0,227.5,0,7.2727272727272725,6507.871894883599,91.79625548317654,8170.663187914473,0,0
49,49,21,27,1,28,29,7397.07100458718,Non-binary,30,16,9,3,7.0958331565551385,109,18,23.126363582464776,Fail,1.6981125407144038,768.65191395437,100.0,0.9666666666666667,1,76.92307692307693,6628.41909063281,89.6086989907532,205.779161540099,0,0
50,50,22,4,3,19,99,8001.613206519002,Unknown,97,24,9,6,2.5056210329009154,177,28,14.147815443979216,Pass,2.825813985400132,336.8901685199779,100.0,1.0206185567010309,1,91.50943396226415,7664.723037999024,95.7897218995101,248.05648225719062,1,1
51,51,20,10,3,91,633,5910.885389668899,Female,31,23,82,10,6.247860914975991,306,21,45.17875792463452,Fail,4.754800804671185,496.24865029194046,100.0,20.419354838709676,0,27.43362831858407,5414.636739376959,91.60449547610435,3954.8959591798025,1,0
52,52,11,28,4,61,154,9866.465457979695,Male,100,4,52,1,4.783000557947665,673,28,14.19032834456998,Pending,1.7729511720835571,694.9823175794459,100.0,1.54,1,65.78947368421053,9171.483140400249,92.95611665049346,736.5820859239404,0,0
53,53,2,3,1,1,820,9435.76260891213,Male,64,11,11,1,8.631052179768947,727,27,9.166849148597151,Pending,2.1224716191438247,602.8984988383834,100.0,12.8125,1,85.33333333333334,8832.864110073746,93.61049526331934,7077.462787410536,0,0
54,54,4,12,3,93,242,8232.334829425821,Male,96,25,54,3,1.0134865660958965,631,17,83.34405899167797,Pending,1.4103475760760271,750.7378406682709,100.0,2.5208333333333335,1,64.0,7481.59698875755,90.88062067173436,245.26374899520695,0,0
55,55,12,1,2,11,622,6088.021479940859,Non-binary,33,22,61,3,4.305103471287636,497,29,30.186023375822508,Pass,2.478771975539748,814.0699965821875,100.0,18.848484848484848,1,35.1063829787234,5273.951483358671,86.62833238574422,2677.77435914091,1,1
